1874,1,-177
1885,1,-182
1896,1,-188
1907,1,-193
1918,1,-198
1929,1,-204
1940,1,-209
1951,1,-215
1962,1,-220
1973,1,-226
1984,1,-231
1995,1,-237
2000,0,-500243
1999,0,-248
1998,0,-251
1997,0,-251
1996,0,-251
1995,0,-251
1994,0,-251
1993,0,-251
1992,0,-251
1991,0,-251
1990,0,-252
1989,0,-252
1988,0,-252
1987,0,-253
1986,0,-253
1985,0,-253
1984,0,-254
1983,0,-254
1982,0,-255
1981,0,-256
1980,0,-256
1979,0,-257
1978,0,-258
1977,0,-259
1976,0,-260
1975,0,-261
1974,0,-262
1973,0,-263
1972,0,-264
1971,0,-265
1970,0,-266
1969,0,-267
1968,0,-269
1967,0,-270
1966,0,-271
1965,0,-273
1964,0,-274
1963,0,-276
1962,0,-277
1961,0,-279
1959,0,-281
1957,0,-282
1955,0,-284
1953,0,-285
1951,0,-286
1949,0,-288
1947,0,-289
1945,0,-290
1943,0,-292
1941,0,-293
1939,0,-295
1937,0,-297
1935,0,-298
1933,0,-300
1931,0,-302
1929,0,-304
1927,0,-305
1925,0,-307
1923,0,-309
1921,0,-311
1919,0,-313
1917,0,-315
1915,0,-317
1913,0,-319
1911,0,-322
1909,0,-324
1907,0,-326
1905,0,-328
1903,0,-331
1901,0,-333
1899,0,-335
1897,0,-338
1895,0,-340
1893,0,-343
1891,0,-345
1889,0,-348
1887,0,-350
1885,0,-353
1883,0,-356
1881,0,-358
1879,0,-361
1877,0,-364
1875,0,-367
1873,0,-370
1871,0,-372
1869,0,-375
1867,0,-378
1865,0,-381
1863,0,-384
1861,0,-387
1859,0,-390
1857,0,-393
1855,0,-397
1853,0,-400
1851,0,-403
1849,0,-406
1847,0,-409
1845,0,-412
1843,0,-416
1841,0,-419
1838,0,-422
1835,0,-426
1832,0,-429
1829,0,-431
1826,0,-434
1823,0,-437
1820,0,-440
1817,0,-443
1814,0,-446
1811,0,-449
1808,0,-452
1805,0,-455
1802,0,-459
1799,0,-462
1796,0,-465
1793,0,-468
1790,0,-471
1787,0,-474
1784,0,-478
1781,0,-481
1778,0,-484
1775,0,-487
1772,0,-490
1769,0,-494
1766,0,-497
1763,0,-500
1760,0,-504
1757,0,-507
1754,0,-510
1751,0,-514
1748,0,-517
1745,0,-520
1742,0,-524
1739,0,-527
1736,0,-531
1733,0,-534
1730,0,-538
1727,0,-541
1724,0,-544
1721,0,-548
1718,0,-551
1715,0,-555
1712,0,-558
1708,0,-562
1704,0,-565
1700,0,-568
1696,0,-571
1692,0,-574
1688,0,-577
1684,0,-580
1680,0,-583
1676,0,-586
1672,0,-589
1668,0,-592
1664,0,-595
1660,0,-598
1656,0,-601
1652,0,-604
1648,0,-607
1644,0,-610
1640,0,-613
1636,0,-616
1632,0,-619
1628,0,-622
1624,0,-625
1620,0,-628
1616,0,-630
1612,0,-633
1608,0,-636
1604,0,-639
1600,0,-642
1596,0,-645
1592,0,-648
1588,0,-651
1584,0,-654
1580,0,-657
1576,0,-660
1572,0,-662
1568,0,-665
1564,0,-668
1560,0,-671
1556,0,-674
1552,0,-676
1548,0,-679
1544,0,-682
1540,0,-685
1536,0,-687
1532,0,-690
1528,0,-693
1524,0,-696
1520,0,-698
1515,0,-701
1510,0,-703
1505,0,-706
1500,0,-708
1495,0,-710
1490,0,-712
1485,0,-714
1480,0,-716
1475,0,-718
1470,0,-720
1465,0,-722
1460,0,-724
1455,0,-725
1450,0,-727
1445,0,-729
1440,0,-731
1435,0,-733
1430,0,-734
1425,0,-736
1420,0,-738
1415,0,-740
1410,0,-741
1405,0,-743
1400,0,-744
1395,0,-746
1390,0,-747
1385,0,-749
1380,0,-750
1375,0,-752
1370,0,-753
1365,0,-755
1360,0,-756
1355,0,-757
